,match_id,duration,radiant_win,radiant_denies,radiant_runes,radiant_cosmetics,radiant_camps_stacked,radiant_last_hits,radiant_consumables,radiant_ability_used,radiant_obs,radiant_portal_used,radiant_fruit_plucked,radiant_lamp_used,radiant_sent,dire_denies,dire_runes,dire_cosmetics,dire_camps_stacked,dire_last_hits,dire_consumables,dire_ability_used,dire_obs,dire_sent,dire_portal_used,dire_fruit_plucked,dire_lamp_used,avg_gold_adv_early,avg_xp_adv_early,radiant_kill_courier,dire_kill_courier,radiant_kill_rs,dire_kill_rs,radiant_aegis,dire_aegis,radiant_chat,dire_chat
5633,7207191017,2047,False,32,27,6,7,893,33,547,16,3,6,18,21,25,22,5,13,906,35,780,16,22,1,1,10,-477.9,-1258.5,0,0,0,1,0,1,58,116
5634,7212859882,1803,True,71,17,10,7,594,14,315,14,1,5,19,20,18,24,9,3,507,33,483,14,24,0,4,17,1186.9,610.8,1,1,1,0,1,0,46,31
5635,7223149035,3134,True,78,31,19,12,1801,33,1063,24,22,5,21,39,20,39,19,9,2078,39,873,23,39,14,10,32,1170.5,719.6,1,4,3,0,3,0,4,18
5636,7139688938,1980,False,22,22,24,7,702,39,508,15,1,3,24,27,38,24,11,1,883,47,657,15,24,1,7,12,-2150.9,-2184.9,3,2,0,1,0,1,52,59
5637,7201718765,2181,True,43,23,1,1,757,30,633,15,1,4,13,25,28,25,6,1,532,41,508,15,11,3,6,9,6.8,-222.9,1,1,0,0,0,0,62,14
5638,7227507183,1510,False,27,14,8,2,473,25,475,10,1,2,4,10,28,23,7,10,573,23,465,12,19,0,5,6,-894.4,-645.4,0,1,0,0,0,0,117,47
5639,7234585077,1400,True,27,20,8,5,565,35,539,12,3,11,7,17,32,10,19,4,368,21,337,10,17,1,0,5,884.4,579.5,3,0,0,0,0,0,33,60
5640,7200801272,2066,False,34,26,0,7,910,14,438,17,0,3,11,24,24,24,0,7,693,28,593,16,27,0,2,14,2233.5,2097.0,0,2,0,0,0,0,4,4
5641,7083852281,1833,True,44,23,6,5,947,32,585,13,0,0,0,18,37,15,12,5,735,21,694,10,19,0,0,0,434.7,497.9,0,1,1,0,1,0,7,18
5642,7184712188,2688,False,30,39,20,16,1389,36,1197,20,2,3,26,32,28,26,8,6,1013,46,976,21,34,4,13,24,1322.7,1755.8,2,1,1,3,1,3,21,80
5643,7085326855,1347,True,60,10,21,11,584,43,342,11,0,0,0,17,29,19,20,2,530,30,388,11,21,0,0,0,534.0,702.3,2,2,1,0,1,0,27,38
5644,7070450187,1647,True,37,23,17,5,716,26,511,14,0,0,0,25,18,14,18,3,632,29,416,14,27,0,0,0,1314.0,882.7,0,2,1,0,1,0,22,48
5645,7091552782,3118,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4376.0,0.0,0,0,0,0,0,0,0,0
5646,7210697231,1914,True,19,21,15,23,949,36,826,14,8,8,11,20,33,27,14,3,1024,33,653,16,24,12,7,10,-1797.3,-1201.3,7,1,1,0,1,0,34,21
5647,7196148239,2996,False,62,30,24,13,1304,34,1344,23,3,15,28,30,60,39,11,18,1486,31,965,24,38,5,6,26,315.5,161.7,4,3,3,1,3,1,43,36
5648,7213777426,1727,True,38,21,0,2,597,17,479,10,0,5,10,17,33,21,0,4,734,20,531,14,18,0,4,4,1057.2,-229.2,5,0,0,0,0,0,2,3
5649,7137034774,4400,True,15,57,19,14,1904,48,1422,33,31,19,29,57,23,49,27,14,2612,57,2737,32,53,1,6,31,1663.9,1096.7,2,2,5,0,5,0,17,44
5650,7067402775,1894,True,18,22,10,0,659,37,555,13,0,0,0,29,60,13,14,4,821,32,442,14,26,0,0,0,-610.9,-590.5,0,0,1,0,1,0,32,22
5651,7134413342,3053,True,35,35,18,10,1501,44,1130,24,19,12,27,39,37,38,14,22,1539,60,1250,24,38,3,4,21,-1512.9,-948.4,2,1,1,2,1,2,77,44
5652,7153779231,1304,False,15,10,3,0,268,17,367,8,0,3,6,12,16,19,22,8,503,27,517,10,14,0,3,7,-3670.8,-2018.5,1,1,0,0,0,0,90,4
5653,7057343010,2003,False,55,17,0,5,905,13,551,16,0,0,0,25,35,22,0,15,1046,17,554,15,15,0,0,0,-1756.0,-356.6,4,2,0,1,0,1,8,5
